x_m,y_m,velocity_mps
-3.000000,-2.500000,5.500000
-2.850000,-2.500000,5.500000
-2.700000,-2.500000,5.500000
-2.550000,-2.500000,5.500000
-2.400000,-2.500000,5.500000
-2.250000,-2.500000,5.500000
-2.100000,-2.500000,5.500000
-1.950000,-2.500000,5.500000
-1.800000,-2.500000,5.500000
-1.650000,-2.500000,5.500000
-1.500000,-2.500000,5.500000
-1.350000,-2.500000,5.500000
-1.200000,-2.500000,5.500000
-1.050000,-2.500000,5.500000
-0.900000,-2.500000,5.500000
-0.750000,-2.500000,5.500000
-0.600000,-2.500000,5.500000
-0.450000,-2.500000,5.500000
-0.300000,-2.500000,5.500000
-0.150000,-2.500000,5.500000
0.000000,-2.500000,5.500000
0.150000,-2.500000,5.500000
0.300000,-2.500000,5.500000
0.450000,-2.500000,5.500000
0.600000,-2.500000,5.500000
0.750000,-2.500000,5.500000
0.900000,-2.500000,5.500000
1.050000,-2.500000,5.500000
1.200000,-2.500000,5.500000
1.350000,-2.500000,5.500000
1.500000,-2.500000,5.500000
1.650000,-2.500000,5.500000
1.800000,-2.500000,5.500000
1.950000,-2.500000,5.500000
2.100000,-2.500000,5.500000
2.250000,-2.500000,5.500000
2.400000,-2.500000,5.111111
2.550000,-2.500000,4.722222
2.700000,-2.500000,4.333333
2.850000,-2.500000,3.944444
3.000000,-2.500000,3.555556
3.150946,-2.495439,3.166667
3.301342,-2.481772,2.777778
3.450638,-2.459050,2.388889
3.598289,-2.427355,2.000000
3.743758,-2.386802,2.000000
3.886512,-2.337541,2.000000
4.026032,-2.279750,2.000000
4.161808,-2.213640,2.000000
4.293345,-2.139453,2.000000
4.420162,-2.057460,2.000000
4.541797,-1.967959,2.000000
4.657807,-1.871277,2.000000
4.767767,-1.767767,2.000000
4.871277,-1.657807,2.000000
4.967959,-1.541797,2.000000
5.057460,-1.420162,2.000000
5.139453,-1.293345,2.000000
5.213640,-1.161808,2.000000
5.279750,-1.026032,2.000000
5.337541,-0.886512,2.000000
5.386802,-0.743758,2.000000
5.427355,-0.598289,2.000000
5.459050,-0.450638,2.000000
5.481772,-0.301342,2.000000
5.495439,-0.150946,2.000000
5.500000,0.000000,2.000000
5.495439,0.150946,2.000000
5.481772,0.301342,2.000000
5.459050,0.450638,2.000000
5.427355,0.598289,2.000000
5.386802,0.743758,2.000000
5.337541,0.886512,2.000000
5.279750,1.026032,2.000000
5.213640,1.161808,2.000000
5.139453,1.293345,2.000000
5.057460,1.420162,2.000000
4.967959,1.541797,2.000000
4.871277,1.657807,2.000000
4.767767,1.767767,2.000000
4.657807,1.871277,2.000000
4.541797,1.967959,2.000000
4.420162,2.057460,2.000000
4.293345,2.139453,2.000000
4.161808,2.213640,2.000000
4.026032,2.279750,2.000000
3.886512,2.337541,2.000000
3.743758,2.386802,2.000000
3.598289,2.427355,2.388889
3.450638,2.459050,2.777778
3.301342,2.481772,3.166667
3.150946,2.495439,3.555556
3.000000,2.500000,3.944444
2.850000,2.500000,4.333333
2.700000,2.500000,4.722222
2.550000,2.500000,5.111111
2.400000,2.500000,5.500000
2.250000,2.500000,5.500000
2.100000,2.500000,5.500000
1.950000,2.500000,5.500000
1.800000,2.500000,5.500000
1.650000,2.500000,5.500000
1.500000,2.500000,5.500000
1.350000,2.500000,5.500000
1.200000,2.500000,5.500000
1.050000,2.500000,5.500000
0.900000,2.500000,5.500000
0.750000,2.500000,5.500000
0.600000,2.500000,5.500000
0.450000,2.500000,5.500000
